Date,Episode,Title,Directed by,Written by,Duration,Summary,Rating/Share,U.S. viewers,"Prod.
code"
01/10/02,08-12,The One Where Joey Dates Rachel,David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,22,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; gang addicted to Mrs. Pacman.",16.1/24,25.53 million,227412
01/17/02,08-13,The One Where Chandler Takes a Bath,Ben Weiss,Vanessa McCarthy,22,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex.,17.5/27,29.24 million,227413
01/31/02,08-14,The One with the Secret Closet,Kevin S. Bright,Brian Buckner & Sebastian Jones,22,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside.",17.8/28,28.64 million,227414
02/07/02,08-15,The One with the Birthing Video,Kevin S. Bright,Dana Klein Borkow,22,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video.",17.8/28,28.64 million,227415
02/28/02,08-16,The One Where Joey Tells Rachel,Ben Weiss,Andrew Reich & Ted Cohen,22,"Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don, who she thinks is Monica's soul-mate and introduces Don to Monica to see what will happen. Monica and Don get along perfectly. Ross goes to tell Joey that he doesn't hate him and Joey promises to never act on his feelings for Rachel because he won't jeopardize his friendship to Ross. But when Ross realizes that Joey really is in love for the first time he tells Joey to tell Rachel. When Joey tells Rachel it is clear that she doesn't feel the same way about Joey and they both start crying.",17.4/27,27.52 million,227416
03/07/02,08-17,The One with the Tea Leaves,Gary Halvorson,"Story by : R. Lee Fleming Jr.
Teleplay by : Steven Rosenhaus",22,"Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey, so she takes Monica's advice to change the subject to something work-related. However in another uncomfortable conversation she manages to convince Joey that her boss, Mr. Zelner, wants to buy her baby. When Phoebe resumes reading tea leaves, she sees that she'll meet the man of her dreams soon, and takes that to be Jim, who she keeps bumping into. However she soon finds he isn't quite that nice, and may be too crazy even for her! Ross is determined to get his favorite pink ('light salmon shade') shirt back from Mona's, so he sneaks in with the key, and dives behind the couch when she enters with a studly new lover...",16.3/25,26.30 million,227417
03/28/02,08-18,The One in Massapequa,Gary Halvorson,"Story by : Peter Tibbals
Teleplay by : Mark Kunerth",22,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,13.7/23,22.05 million,227418
04/04/02,08-19,The One with Joey's Interview,Gary Halvorson,Doty Abrams,22,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",14.7/24,22.59 million,227424
04/25/02,08-20,The One with the Baby Shower,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,22,"Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile, Joey auditions for a job as a host for a new game show called ""Bamboozled"", and Chandler and Ross help him practice.",14.4/23,22.24 million,227421
05/02/02,08-21,The One with the Cooking Class,Gary Halvorson,"Story by : Dana Klein Borkow
Teleplay by : Brian Buckner & Sebastian Jones",22,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",15.4/25,23.97 million,227419
